Размер массива,Рандомные числа,Отсортированы по невозрастанию,Почти отсортированный массив
500,274,264,266
600,284,333,329
700,334,291,317
800,371,335,370
900,428,556,452
1000,480,430,442
1100,514,545,489
1200,574,560,547
1300,579,605,527
1400,620,598,580
1500,665,654,662
1600,721,708,671
1700,759,744,707
1800,797,780,746
1900,849,827,794
2000,894,872,847
2100,936,914,881
2200,989,966,930
2300,1020,1001,959
2400,1077,1056,1011
2500,1117,1100,1056
2600,1168,1154,1106
2700,1212,1192,1142
2800,1257,1242,1190
2900,1307,1291,1234
3000,1345,1332,1285
3100,1394,1385,1328
3200,1444,1434,1379
3300,1488,1476,1412
3400,1540,1524,1470
3500,1579,1568,1507
3600,1635,1619,1558
3700,1686,1666,1600
3800,1727,1709,1648
3900,1784,1765,1706
4000,1821,1810,1739
4100,1874,1860,1789
4200,1917,1906,1830
4300,1975,1957,1883
4400,2019,2006,1927
4500,2071,2055,1978
4600,2110,2096,2014
4700,2167,2149,2070
4800,2213,2195,2112
4900,2271,2251,2168
5000,2316,2295,2215
5100,2367,2348,2256
5200,2414,2390,2292
5300,2465,2445,2353
5400,2512,2486,2400
5500,2567,2541,2448
5600,2609,2585,2490
5700,2667,2636,2548
5800,2711,2685,2589
5900,2768,2736,2642
6000,2813,2782,2687
6100,2870,2836,2737
6200,2914,2880,2783
6300,2973,2940,2832
6400,3020,2985,2875
6500,3070,3034,2928
6600,3119,3082,2970
6700,3174,3138,3026
6800,3218,3180,3067
6900,3275,3238,3123
7000,3321,3281,3167
7100,3379,3341,3217
7200,3424,3383,3261
7300,3480,3439,3321
7400,3527,3485,3358
7500,3586,3542,3411
7600,3632,3588,3454
7700,3688,3642,3513
7800,3733,3685,3554
7900,3793,3744,3612
8000,3839,3789,3657
8100,3901,3848,3712
8200,3944,3891,3756
8300,4002,3949,3811
8400,4045,3993,3856
8500,4104,4050,3912
8600,4150,4095,3957
8700,4207,4154,4016
8800,4254,4199,4058
8900,4313,4263,4119
9000,4359,4306,4160
9100,4418,4367,4219
9200,4462,4410,4262
9300,4520,4470,4320
9400,4566,4516,4364
9500,4624,4574,4424
9600,4670,4621,4468
9700,4729,4682,4527
9800,4773,4724,4570
9900,4832,4784,4630
10000,4878,4828,4672
