dataset,algorithm,n,time_us,char_comps
random,QuickSort,100,5,2602
random,MergeSort,100,40,603
random,StringQuickSort,100,10,755
random,StringMergeSort,100,37,1199
random,MSDRadix,100,24,177
random,MSDRadixQuick,100,14,201
random,QuickSort,200,13,5773
random,MergeSort,200,99,1516
random,StringQuickSort,200,21,1591
random,StringMergeSort,200,115,2938
random,MSDRadix,200,52,398
random,MSDRadixQuick,200,27,521
random,QuickSort,300,21,7876
random,MergeSort,300,172,2540
random,StringQuickSort,300,32,2521
random,StringMergeSort,300,1152,4867
random,MSDRadix,300,82,622
random,MSDRadixQuick,300,45,919
random,QuickSort,400,30,10980
random,MergeSort,400,245,3692
random,StringQuickSort,400,44,3585
random,StringMergeSort,400,258,6969
random,MSDRadix,400,101,839
random,MSDRadixQuick,400,74,1346
random,QuickSort,500,45,15436
random,MergeSort,500,331,4895
random,StringQuickSort,500,63,5044
random,StringMergeSort,500,342,9147
random,MSDRadix,500,122,1052
random,MSDRadixQuick,500,80,1831
random,QuickSort,600,65,17150
random,MergeSort,600,420,6121
random,StringQuickSort,600,78,5818
random,StringMergeSort,600,419,11286
random,MSDRadix,600,141,1274
random,MSDRadixQuick,600,134,2351
random,QuickSort,700,92,21756
random,MergeSort,700,493,7456
random,StringQuickSort,700,86,7185
random,StringMergeSort,700,505,13708
random,MSDRadix,700,175,1497
random,MSDRadixQuick,700,113,2871
random,QuickSort,800,88,26257
random,MergeSort,800,576,8836
random,StringQuickSort,800,96,8145
random,StringMergeSort,800,596,16078
random,MSDRadix,800,189,1717
random,MSDRadixQuick,800,120,3451
random,QuickSort,900,101,29094
random,MergeSort,900,657,10215
random,StringQuickSort,900,107,9284
random,StringMergeSort,900,689,18492
random,MSDRadix,900,206,1948
random,MSDRadixQuick,900,151,4051
random,QuickSort,1000,113,32338
random,MergeSort,1000,734,11687
random,StringQuickSort,1000,124,10569
random,StringMergeSort,1000,771,20929
random,MSDRadix,1000,227,2181
random,MSDRadixQuick,1000,150,4651
random,QuickSort,1100,130,35021
random,MergeSort,1100,850,13038
random,StringQuickSort,1100,134,11726
random,StringMergeSort,1100,875,23471
random,MSDRadix,1100,264,2396
random,MSDRadixQuick,1100,161,5292
random,QuickSort,1200,154,39333
random,MergeSort,1200,939,14565
random,StringQuickSort,1200,166,13041
random,StringMergeSort,1200,960,25947
random,MSDRadix,1200,273,2632
random,MSDRadixQuick,1200,187,5912
random,QuickSort,1300,152,40227
random,MergeSort,1300,1188,16103
random,StringQuickSort,1300,218,14672
random,StringMergeSort,1300,1356,28611
random,MSDRadix,1300,412,2880
random,MSDRadixQuick,1300,299,6568
random,QuickSort,1400,210,43673
random,MergeSort,1400,1118,17642
random,StringQuickSort,1400,185,15233
random,StringMergeSort,1400,1406,31164
random,MSDRadix,1400,461,3128
random,MSDRadixQuick,1400,221,7268
random,QuickSort,1500,189,49558
random,MergeSort,1500,1192,19175
random,StringQuickSort,1500,192,16616
random,StringMergeSort,1500,1264,34044
random,MSDRadix,1500,357,3364
random,MSDRadixQuick,1500,247,7933
random,QuickSort,1600,211,53009
random,MergeSort,1600,1293,20785
random,StringQuickSort,1600,227,18353
random,StringMergeSort,1600,1350,36622
random,MSDRadix,1600,385,3610
random,MSDRadixQuick,1600,268,8561
random,QuickSort,1700,228,57031
random,MergeSort,1700,1389,22405
random,StringQuickSort,1700,226,18885
random,StringMergeSort,1700,1450,39364
random,MSDRadix,1700,400,3863
random,MSDRadixQuick,1700,294,9371
random,QuickSort,1800,227,59921
random,MergeSort,1800,1485,23945
random,StringQuickSort,1800,240,20368
random,StringMergeSort,1800,1543,41962
random,MSDRadix,1800,458,4108
random,MSDRadixQuick,1800,300,10096
random,QuickSort,1900,254,64418
random,MergeSort,1900,1603,25622
random,StringQuickSort,1900,254,21047
random,StringMergeSort,1900,1639,44697
random,MSDRadix,1900,476,4376
random,MSDRadixQuick,1900,303,10815
random,QuickSort,2000,267,65173
random,MergeSort,2000,1661,27244
random,StringQuickSort,2000,278,23353
random,StringMergeSort,2000,1780,47496
random,MSDRadix,2000,534,4625
random,MSDRadixQuick,2000,342,11497
random,QuickSort,2100,299,71808
random,MergeSort,2100,2151,28887
random,StringQuickSort,2100,285,24099
random,StringMergeSort,2100,1852,50176
random,MSDRadix,2100,581,4874
random,MSDRadixQuick,2100,384,12339
random,QuickSort,2200,299,76054
random,MergeSort,2200,1888,30536
random,StringQuickSort,2200,305,26291
random,StringMergeSort,2200,1974,53216
random,MSDRadix,2200,592,5118
random,MSDRadixQuick,2200,372,12969
random,QuickSort,2300,314,80210
random,MergeSort,2300,1980,32227
random,StringQuickSort,2300,321,27276
random,StringMergeSort,2300,2080,56041
random,MSDRadix,2300,621,5375
random,MSDRadixQuick,2300,408,13779
random,QuickSort,2400,332,80527
random,MergeSort,2400,2081,33966
random,StringQuickSort,2400,339,29391
random,StringMergeSort,2400,2177,58754
random,MSDRadix,2400,665,5640
random,MSDRadixQuick,2400,419,14562
random,QuickSort,2500,349,87574
random,MergeSort,2500,2188,35664
random,StringQuickSort,2500,352,29191
random,StringMergeSort,2500,2311,61641
random,MSDRadix,2500,702,5887
random,MSDRadixQuick,2500,448,15403
random,QuickSort,2600,363,93511
random,MergeSort,2600,2302,37443
random,StringQuickSort,2600,377,31623
random,StringMergeSort,2600,2368,64449
random,MSDRadix,2600,740,6152
random,MSDRadixQuick,2600,462,16126
random,QuickSort,2700,377,93513
random,MergeSort,2700,2426,39206
random,StringQuickSort,2700,388,32979
random,StringMergeSort,2700,2502,67486
random,MSDRadix,2700,769,6417
random,MSDRadixQuick,2700,482,16977
random,QuickSort,2800,405,99444
random,MergeSort,2800,2491,40886
random,StringQuickSort,2800,395,33736
random,StringMergeSort,2800,2583,70410
random,MSDRadix,2800,816,6691
random,MSDRadixQuick,2800,484,17698
random,QuickSort,2900,425,103143
random,MergeSort,2900,2586,42758
random,StringQuickSort,2900,427,34836
random,StringMergeSort,2900,2706,73172
random,MSDRadix,2900,822,6961
random,MSDRadixQuick,2900,518,18500
random,QuickSort,3000,433,107139
random,MergeSort,3000,2697,44472
random,StringQuickSort,3000,427,35830
random,StringMergeSort,3000,2828,76728
random,MSDRadix,3000,894,7227
random,MSDRadixQuick,3000,541,19286
reverse,QuickSort,100,5,3965
reverse,MergeSort,100,39,590
reverse,StringQuickSort,100,10,680
reverse,StringMergeSort,100,35,1344
reverse,MSDRadix,100,23,229
reverse,MSDRadixQuick,100,15,583
reverse,QuickSort,200,10,8621
reverse,MergeSort,200,92,1314
reverse,StringQuickSort,200,16,1611
reverse,StringMergeSort,200,93,2928
reverse,MSDRadix,200,49,470
reverse,MSDRadixQuick,200,40,1230
reverse,QuickSort,300,14,9314
reverse,MergeSort,300,162,2097
reverse,StringQuickSort,300,25,2487
reverse,StringMergeSort,300,160,4684
reverse,MSDRadix,300,75,701
reverse,MSDRadixQuick,300,44,1914
reverse,QuickSort,400,22,17980
reverse,MergeSort,400,227,2838
reverse,StringQuickSort,400,34,3465
reverse,StringMergeSort,400,234,6294
reverse,MSDRadix,400,100,950
reverse,MSDRadixQuick,400,60,2534
reverse,QuickSort,500,24,8927
reverse,MergeSort,500,294,3747
reverse,StringQuickSort,500,41,4453
reverse,StringMergeSort,500,290,7742
reverse,MSDRadix,500,135,1195
reverse,MSDRadixQuick,500,74,3173
reverse,QuickSort,600,30,19037
reverse,MergeSort,600,364,4472
reverse,StringQuickSort,600,52,5696
reverse,StringMergeSort,600,384,9926
reverse,MSDRadix,600,159,1440
reverse,MSDRadixQuick,600,92,3778
reverse,QuickSort,700,41,30881
reverse,MergeSort,700,448,5262
reverse,StringQuickSort,700,64,6717
reverse,StringMergeSort,700,448,11876
reverse,MSDRadix,700,194,1691
reverse,MSDRadixQuick,700,105,4436
reverse,QuickSort,800,49,36150
reverse,MergeSort,800,511,6097
reverse,StringQuickSort,800,73,8286
reverse,StringMergeSort,800,541,13456
reverse,MSDRadix,800,211,1942
reverse,MSDRadixQuick,800,122,5128
reverse,QuickSort,900,48,28269
reverse,MergeSort,900,575,7035
reverse,StringQuickSort,900,85,9398
reverse,StringMergeSort,900,601,15084
reverse,MSDRadix,900,240,2202
reverse,MSDRadixQuick,900,131,5741
reverse,QuickSort,1000,50,18780
reverse,MergeSort,1000,671,8017
reverse,StringQuickSort,1000,95,10100
reverse,StringMergeSort,1000,678,16514
reverse,MSDRadix,1000,268,2444
reverse,MSDRadixQuick,1000,152,6392
reverse,QuickSort,1100,53,26233
reverse,MergeSort,1100,876,8768
reverse,StringQuickSort,1100,110,11417
reverse,StringMergeSort,1100,776,18790
reverse,MSDRadix,1100,297,2693
reverse,MSDRadixQuick,1100,162,7168
reverse,QuickSort,1200,63,37302
reverse,MergeSort,1200,827,9483
reverse,StringQuickSort,1200,114,12899
reverse,StringMergeSort,1200,856,20936
reverse,MSDRadix,1200,322,2918
reverse,MSDRadixQuick,1200,182,7754
reverse,QuickSort,1300,78,52246
reverse,MergeSort,1300,913,10430
reverse,StringQuickSort,1300,123,14066
reverse,StringMergeSort,1300,932,23234
reverse,MSDRadix,1300,348,3161
