N area_wide area_narrow
100 0.97500000 0.93870933
600 0.93750000 0.93877902
1100 0.96027273 0.94570356
1600 0.94575000 0.94472000
2100 0.96200000 0.94444373
2600 0.94176923 0.94662170
3100 0.93600000 0.94298508
3600 0.94075000 0.94390116
4100 0.94331707 0.94646010
4600 0.94584783 0.94526312
5100 0.94258824 0.94606356
5600 0.95025000 0.94522027
6100 0.94814754 0.94472086
6600 0.94018182 0.94368259
7100 0.94356338 0.94216629
7600 0.94768421 0.94626463
8100 0.95617284 0.94413163
8600 0.95711628 0.94634288
9100 0.94681319 0.94465802
9600 0.95383333 0.94478000
10100 0.94402079 0.94482455
10600 0.94383019 0.94514340
11100 0.94448649 0.94406991
11600 0.94937931 0.94338390
12100 0.94690165 0.94391653
12600 0.94174603 0.94457524
13100 0.94270992 0.94494107
13600 0.93989706 0.94457882
14100 0.94248227 0.94477638
14600 0.94531507 0.94503014
15100 0.94529801 0.94437287
15600 0.94550000 0.94505026
16100 0.94322919 0.94403142
16600 0.94437349 0.94479809
17100 0.94497076 0.94559102
17600 0.93976136 0.94377699
18100 0.94331492 0.94405591
18600 0.94410753 0.94488215
19100 0.93801675 0.94513203
19600 0.94695918 0.94489510
20100 0.94634328 0.94442010
20600 0.94844660 0.94492932
21100 0.94747393 0.94459489
21600 0.94348611 0.94431638
22100 0.94284525 0.94389810
22600 0.94426549 0.94449023
23100 0.94367965 0.94438568
23600 0.94442373 0.94454412
24100 0.94897925 0.94507195
24600 0.93943089 0.94404618
25100 0.94484263 0.94496219
25600 0.94364062 0.94502711
26100 0.94789195 0.94448705
26600 0.94421880 0.94486891
27100 0.94147418 0.94490396
27600 0.94469565 0.94538406
28100 0.94655943 0.94491082
28600 0.94469266 0.94478814
29100 0.94694227 0.94400137
29600 0.94693243 0.94446162
30100 0.94470598 0.94453523
30600 0.94557418 0.94411830
31100 0.94717203 0.94441337
31600 0.94353165 0.94506158
32100 0.94760592 0.94462097
32600 0.94742822 0.94422155
33100 0.94706737 0.94496225
33600 0.94428571 0.94513794
34100 0.94465630 0.94433225
34600 0.94761821 0.94437885
35100 0.94558718 0.94481500
35600 0.94758427 0.94382468
36100 0.94790859 0.94468128
36600 0.94518306 0.94416299
37100 0.94524852 0.94445743
37600 0.94755319 0.94485141
38100 0.94341470 0.94416583
38600 0.94409301 0.94430031
39100 0.94293146 0.94472760
39600 0.94646465 0.94416867
40100 0.94716633 0.94534868
40600 0.94756601 0.94489223
41100 0.94353406 0.94463899
41600 0.94770337 0.94466587
42100 0.94479715 0.94471577
