N relerr_wide relerr_narrow
100 0.03227344 0.00614902
600 0.00742939 0.00607523
1100 0.01668105 0.00125607
1600 0.00130523 0.00021473
2100 0.01850979 0.00007777
2600 0.00290938 0.00222814
3100 0.00901750 0.00162210
3600 0.00398848 0.00065222
4100 0.00127061 0.00205704
4600 0.00140880 0.00078975
5100 0.00204226 0.00163721
5600 0.00606957 0.00074438
6100 0.00384361 0.00021563
6600 0.00459004 0.00088363
7100 0.00100983 0.00248899
7600 0.00591138 0.00184891
8100 0.01235119 0.00040910
8600 0.01334250 0.00192573
9100 0.00242850 0.00014999
9600 0.00986032 0.00027863
10100 0.00098403 0.00032400
10600 0.00118490 0.00065327
11100 0.00003286 0.00047519
11600 0.00527359 0.00120107
12100 0.00252416 0.00063733
12600 0.00306334 0.00006103
13100 0.00240320 0.00043143
13600 0.00489761 0.00005756
14100 0.00223603 0.00026494
14600 0.00082963 0.00052615
15100 0.00081227 0.00009400
15600 0.00104132 0.00055555
16100 0.00136349 0.00051568
16600 0.00015236 0.00029592
17100 0.00048077 0.00113611
17600 0.00506272 0.00078519
18100 0.00137828 0.00048794
18600 0.00043323 0.00038762
19100 0.00687941 0.00065262
19600 0.00258400 0.00040006
20100 0.00193334 0.00010721
20600 0.00428212 0.00043699
21100 0.00343380 0.00040135
21600 0.00079724 0.00021579
22100 0.00044668 0.00006603
22600 0.00017364 0.00000306
23100 0.00031536 0.00000391
23600 0.00011433 0.00002805
24100 0.00470432 0.00058716
24600 0.00590220 0.00049804
25100 0.00034337 0.00047164
25600 0.00092945 0.00054071
26100 0.00479916 0.00037497
26600 0.00051339 0.00037294
27100 0.00313594 0.00041360
27600 0.00019080 0.00091747
28100 0.00216483 0.00041482
28600 0.00018852 0.00028948
29100 0.00256105 0.00078267
29600 0.00255073 0.00029689
30100 0.00018637 0.00025781
30600 0.00108250 0.00022115
31100 0.00281577 0.00042472
31600 0.00013922 0.00051424
32100 0.00356187 0.00016243
32600 0.00335248 0.00028823
33100 0.00303074 0.00047172
33600 0.00028893 0.00068244
34100 0.00015775 0.00033502
34600 0.00358181 0.00029069
35100 0.00114239 0.00031691
35600 0.00354473 0.00117958
36100 0.00386863 0.00027871
36600 0.00067121 0.00037715
37100 0.00062276 0.00016636
37600 0.00355661 0.00035433
38100 0.00116774 0.00037244
38600 0.00044887 0.00041389
39100 0.00167540 0.00022313
39600 0.00205944 0.00037101
40100 0.00247581 0.00087953
40600 0.00357732 0.00039931
41100 0.00052259 0.00014812
41600 0.00379303 0.00017737
42100 0.00029755 0.00020690
42600 0.00211920 0.00015945
43100 0.00030419 0.00014771
43600 0.00076054 0.00043723
44100 0.00212755 0.00007578
44600 0.00437984 0.00019010
45100 0.00167280 0.00009113
45600 0.00215413 0.00019697
46100 0.00068228 0.00076210
46600 0.00307680 0.00031864
47100 0.00238380 0.00037890
47600 0.00229088 0.00015596
